kml_file,raw_data,graphs_dir,ts,datetime,year,month,day,time
http://localhost/data/Soundings/09_11_2017.kml,http://localhost/data/Soundings/09_11_2017.zip,http://localhost/data/Soundings/09_11_2017_Graphs,09_11_2017_0000,2017-09-11 00:00:00,2017,9,11,0000
http://localhost/data/Soundings/09_11_2018.kml,http://localhost/data/Soundings/09_11_2018.zip,http://localhost/data/Soundings/09_11_2018_Graphs,09_11_2018_0000,2018-09-11 00:00:00,2018,9,11,0000
http://localhost/data/Soundings/09_11_2019_1100Z.kml,http://localhost/data/Soundings/09_11_2019_1100Z.zip,http://localhost/data/Soundings/09_11_2019_1100Z_Graphs,09_11_2019_1100,2019-09-11 11:00:00,2019,9,11,1100
http://localhost/data/Soundings/09_11_2019_1700Z.kml,http://localhost/data/Soundings/09_11_2019_1700Z.zip,http://localhost/data/Soundings/09_11_2019_1700Z_Graphs,09_11_2019_1700,2019-09-11 17:00:00,2019,9,11,1700
http://localhost/data/Soundings/09_12_2018.kml,http://localhost/data/Soundings/09_12_2018.zip,http://localhost/data/Soundings/09_12_2018_Graphs,09_12_2018_0000,2018-09-12 00:00:00,2018,9,12,0000
http://localhost/data/Soundings/09_12_2019_1730Z.kml,http://localhost/data/Soundings/09_12_2019_1730Z.zip,http://localhost/data/Soundings/09_12_2019_1730Z_Graphs,09_12_2019_1730,2019-09-12 17:30:00,2019,9,12,1730
http://localhost/data/Soundings/09_13_2018.kml,http://localhost/data/Soundings/09_13_2018.zip,http://localhost/data/Soundings/09_13_2018_Graphs,09_13_2018_0000,2018-09-13 00:00:00,2018,9,13,0000
http://localhost/data/Soundings/09_14_2019_1030Z.kml,http://localhost/data/Soundings/09_14_2019_1030Z.zip,http://localhost/data/Soundings/09_14_2019_1030Z_Graphs,09_14_2019_1030,2019-09-14 10:30:00,2019,9,14,1030
http://localhost/data/Soundings/09_14_2019_1300Z.kml,http://localhost/data/Soundings/09_14_2019_1300Z.zip,http://localhost/data/Soundings/09_14_2019_1300Z_Graphs,09_14_2019_1300,2019-09-14 13:00:00,2019,9,14,1300
http://localhost/data/Soundings/09_15_2019_1700Z.kml,http://localhost/data/Soundings/09_15_2019_1700Z.zip,http://localhost/data/Soundings/09_15_2019_1700Z_Graphs,09_15_2019_1700,2019-09-15 17:00:00,2019,9,15,1700
http://localhost/data/Soundings/09_16_2019_1400Z.kml,http://localhost/data/Soundings/09_16_2019_1400Z.zip,,09_16_2019_1400,2019-09-16 14:00:00,2019,9,16,1400
http://localhost/data/Soundings/09_17_2019_1100Z.kml,http://localhost/data/Soundings/09_17_2019_1100Z.zip,,09_17_2019_1100,2019-09-17 11:00:00,2019,9,17,1100
http://localhost/data/Soundings/09_17_2019_1545Z.kml,http://localhost/data/Soundings/09_17_2019_1545Z.zip,,09_17_2019_1545,2019-09-17 15:45:00,2019,9,17,1545
http://localhost/data/Soundings/09_18_2019_1530Z.kml,http://localhost/data/Soundings/09_18_2019_1530Z.zip,,09_18_2019_1530,2019-09-18 15:30:00,2019,9,18,1530
http://localhost/data/Soundings/09_19_2019_1730Z.kml,http://localhost/data/Soundings/09_19_2019_1730Z.zip,,09_19_2019_1730,2019-09-19 17:30:00,2019,9,19,1730
http://localhost/data/Soundings/09_20_2019_1400Z.kml,http://localhost/data/Soundings/09_20_2019_1400Z.zip,,09_20_2019_1400,2019-09-20 14:00:00,2019,9,20,1400
