post_type,post_title,post_content,post_excerpt,wpcf-flight_number,wpcf-takeoff_date_local,wpcf-takeoff_time_local_hm,wpcf-takeoff_airport,wpcf-takeoff_city,wpcf-landing_date_local,wpcf-landing_time_local_hm,wpcf-landing_airport,wpcf-landing_city,wpcf-flight_duration_hours,wpcf-release_altitude_feet,wpcf-maximum_altitude_feet,wpcf-maximum_gps_altitude_feet,wpcf-pilot_front,wpcf-pilot_rear,wpcf-data_ac,wpcf-data_adp,wpcf-data_imu,wpcf-data_kml,wpcf-data_uv,wpcf-takeoff_datetime_local_ymdhm,wpcf-takeoff_datetime_local,wpcf-landing_datetime_local_ymdhm,wpcf-landing_datetime_local
flight,Flight 0047,first high tow ,first high tow ,47,2018-08-14,1500,SAWC,El Calafate,2018-08-14,1810,SAWC,El Calafate,3.2,40000,40000,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0047/Flt0047AC.xlsb,,,,http://localhost/data/Flights/0047/Flt0047UV.xlsx,2018-08-14-1500,1534258800.0,2018-08-14-1810,1534270200.0
flight,Flight 0048,,,48,2018-08-17,1348,SAWC,El Calafate,2018-08-17,1650,SAWC,El Calafate,3.0,43800,43800,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0048/Flt0048AC.xlsb,,,http://localhost/data/Flights/0048/Flt0048.kml,http://localhost/data/Flights/0048/Flt0048UV.xlsx,2018-08-17-1348,1534513680.0,2018-08-17-1650,1534524600.0
flight,Flight 0049,,,49,2018-08-20,1148,SAWC,El Calafate,2018-08-20,1704,SAWC,El Calafate,5.3,42800,47200,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0049/Flt0049AC.xlsb,,,http://localhost/data/Flights/0049/Flt0049.kml,http://localhost/data/Flights/0049/Flt0049UV.xlsx,2018-08-20-1148,1534765680.0,2018-08-20-1704,1534784640.0
flight,Flight 0050,,,50,2018-08-26,1254,SAWC,El Calafate,2018-08-26,1832,SAWC,El Calafate,5.6,42200,62000,60669.0,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0050/Flt0050AC.xlsb,,,http://localhost/data/Flights/0050/Flt0050.kml,http://localhost/data/Flights/0050/Flt0050UV.xlsx,2018-08-26-1254,1535288040.0,2018-08-26-1832,1535308320.0
flight,Flight 0051,,,51,2018-08-28,1321,SAWC,El Calafate,2018-08-28,1829,SAWC,El Calafate,5.1,40200,65600,63776.0,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0051/Flt0051AC.xlsb,,,http://localhost/data/Flights/0051/Flt0051.kml,http://localhost/data/Flights/0051/Flt0051UV.xlsx,2018-08-28-1321,1535462460.0,2018-08-28-1829,1535480940.0
flight,Flight 0052,altitude record,altitude record,52,2018-09-02,1141,SAWC,El Calafate,2018-09-02,1644,SAWC,El Calafate,5.1,44300,76100,74295.0,Jim Payne,Tim Gardner,http://localhost/data/Flights/0052/Flt0052AC.xlsb,,,http://localhost/data/Flights/0052/Flt0052.kml,http://localhost/data/Flights/0052/Flt0052UV.xlsx,2018-09-02-1141,1535888460.0,2018-09-02-1644,1535906640.0
flight,Flight 0053,contrail visible,contrail visible,53,2018-09-10,1411,SAWC,El Calafate,2018-09-10,1714,SAWC,El Calafate,3.0,44100,45400,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0053/Flt0053AC.xlsb,,,http://localhost/data/Flights/0053/Flt0053.kml,http://localhost/data/Flights/0053/Flt0053UV.xlsx,2018-09-10-1411,1536588660.0,2018-09-10-1714,1536599640.0
flight,Flight 0054,highest tow,highest tow,54,2018-09-12,1016,SAWC,El Calafate,2018-09-12,1303,SAWC,El Calafate,2.8,45100,62900,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0054/Flt0054AC.xlsb,,,http://localhost/data/Flights/0054/Flt0054.kml,,2018-09-12-1016,1536747360.0,2018-09-12-1303,1536757380.0
flight,Flight 0055,,,55,2019-05-28,1135,KMEV,"Minden, NV",2019-05-28,1210,KMEV,"Minden, NV",0.6,9800,9800,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0055/Flt0055AC.xlsx,,http://localhost/data/Flights/0055/Flt0055IMU.zip,,http://localhost/data/Flights/0055/Flt0055UV.xlsx,2019-05-28-1135,1559043300.0,2019-05-28-1210,1559045400.0
flight,Flight 0056,,,56,2019-05-29,1132,KMEV,"Minden, NV",2019-05-29,1208,KMEV,"Minden, NV",0.6,9700,9700,,Jim Payne,Morgan Sandercock,,,http://localhost/data/Flights/0056/Flt0056IMU.zip,,,2019-05-29-1132,1559129520.0,2019-05-29-1208,1559131680.0
flight,Flight 0057,,,57,2019-06-01,1042,KMEV,"Minden, NV",2019-06-01,1128,KMEV,"Minden, NV",0.8,10700,10700,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0057/Flt0057AC.xlsx,,,,http://localhost/data/Flights/0057/Flt0057UV.xlsx,2019-06-01-1042,1559385720.0,2019-06-01-1128,1559388480.0
flight,Flight 0058,,,58,2019-06-03,0933,KMEV,"Minden, NV",2019-06-03,1020,KMEV,"Minden, NV",0.8,9700,9700,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0058/Flt0058AC.xlsx,http://localhost/data/Flights/0058/Flt0058ADP.zip,http://localhost/data/Flights/0058/Flt0058IMU.zip,,http://localhost/data/Flights/0058/Flt0058UV.xlsx,2019-06-03-0933,1559554380.0,2019-06-03-1020,1559557200.0
flight,Flight 0059,functional check,functional check,59,2019-08-20,1216,SAWC,El Calafate,2019-08-20,1330,SAWC,El Calafate,1.2,12100,12100,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0059/Flt0059AC.xlsx,http://localhost/data/Flights/0059/Flt0059ADP.csv,http://localhost/data/Flights/0059/Flt0059IMU.zip,http://localhost/data/Flights/0059/Flt0059.kml,http://localhost/data/Flights/0059/Flt0059UV.xlsx,2019-08-20-1216,1566303360.0,2019-08-20-1330,1566307800.0
flight,Flight 0060,,,60,2019-02-28,1207,SAWC,El Calafate,2019-02-28,1554,SAWC,El Calafate,3.8,45500,46800,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0060/Flt0060AC.xlsb,http://localhost/data/Flights/0060/Flt0060ADP.csv,http://localhost/data/Flights/0060/Flt0060IMU.zip,,http://localhost/data/Flights/0060/Flt0060UV.xlsx,2019-02-28-1207,1551355620.0,2019-02-28-1554,1551369240.0
flight,Flight 0061,,,61,2019-08-31,1037,SAWC,El Calafate,2019-08-31,1430,SAWC,El Calafate,3.9,46600,56300,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0061/Flt0061AC.xlsb,http://localhost/data/Flights/0061/Flt0061ADP.csv,http://localhost/data/Flights/0061/Flt0061IMU.zip,http://localhost/data/Flights/0061/Flt0061.kml,http://localhost/data/Flights/0061/Flt0061UV.xlsx,2019-08-31-1037,1567247820.0,2019-08-31-1430,1567261800.0
flight,Flight 0062,,,62,2019-09-06,1333,SAWC,El Calafate,2019-09-06,1636,SAWC,El Calafate,3.1,42000,42300,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0062/Flt0062AC.xlsb,http://localhost/data/Flights/0062/Flt0062ADP.csv,http://localhost/data/Flights/0062/Flt0062IMU.zip,http://localhost/data/Flights/0062/Flt0062.kml,http://localhost/data/Flights/0062/Flt0062UV.xlsx,2019-09-06-1333,1567776780.0,2019-09-06-1636,1567787760.0
flight,Flight 0063,tow height record,tow height record,63,2019-09-11,1235,SAWC,El Calafate,2019-09-11,1811,SAWC,El Calafate,5.6,47100,50600,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0063/Flt0063AC.xlsb,http://localhost/data/Flights/0063/Flt0063ADP.zip,http://localhost/data/Flights/0063/Flt0063IMU.zip,http://localhost/data/Flights/0063/Flt0063.kml,http://localhost/data/Flights/0063/Flt0063UV.xlsb,2019-09-11-1235,1568205300.0,2019-09-11-1811,1568225460.0
flight,Flight 0064,,,64,2019-09-14,0913,SAWC,El Calafate,2019-09-14,1230,SAWC,El Calafate,3.3,45100,49200,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0064/Flt0064AC.xlsb,http://localhost/data/Flights/0064/Flt0064ADP.csv,http://localhost/data/Flights/0064/Flt0064IMU.zip,http://localhost/data/Flights/0064/Flt0064.kml,http://localhost/data/Flights/0064/Flt0064UV.xlsb,2019-09-14-0913,1568452380.0,2019-09-14-1230,1568464200.0
flight,Flight 0065,Last flight of 2019,Last flight of 2019,65,2019-09-17,1120,SAWC,El Calafate,2019-09-17,1650,SAWC,El Calafate,5.5,51000,65000,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0065/Flt0065AC.xlsx,http://localhost/data/Flights/0065/Flt0065ADP.zip,http://localhost/data/Flights/0065/Flt0065IMU.zip,http://localhost/data/Flights/0065/Flt0065.kml,http://localhost/data/Flights/0065/Flt0065UV.xlsx,2019-09-17-1120,1568719200.0,2019-09-17-1650,1568739000.0
