post_title,wpcf-kml_file,wpcf-raw_file,wpcf-graphs_dir
2019-09-11 11:00,http://localhost/data/Soundings/09_11_2019_1100Z.kml,http://localhost/data/Soundings/09_11_2019_1100Z.zip,http://localhost/data/Soundings/09_11_2019_1100Z_Graphs
2019-09-11 17:00,http://localhost/data/Soundings/09_11_2019_1700Z.kml,http://localhost/data/Soundings/09_11_2019_1700Z.zip,http://localhost/data/Soundings/09_11_2019_1700Z_Graphs
2018-09-12 00:00,http://localhost/data/Soundings/09_12_2018.kml,http://localhost/data/Soundings/09_12_2018.zip,http://localhost/data/Soundings/09_12_2018_Graphs
2019-09-12 17:30,http://localhost/data/Soundings/09_12_2019_1730Z.kml,http://localhost/data/Soundings/09_12_2019_1730Z.zip,http://localhost/data/Soundings/09_12_2019_1730Z_Graphs
2018-09-13 00:00,http://localhost/data/Soundings/09_13_2018.kml,http://localhost/data/Soundings/09_13_2018.zip,http://localhost/data/Soundings/09_13_2018_Graphs
2019-09-14 10:30,http://localhost/data/Soundings/09_14_2019_1030Z.kml,http://localhost/data/Soundings/09_14_2019_1030Z.zip,http://localhost/data/Soundings/09_14_2019_1030Z_Graphs
2019-09-14 13:00,http://localhost/data/Soundings/09_14_2019_1300Z.kml,http://localhost/data/Soundings/09_14_2019_1300Z.zip,http://localhost/data/Soundings/09_14_2019_1300Z_Graphs
2019-09-15 17:00,http://localhost/data/Soundings/09_15_2019_1700Z.kml,http://localhost/data/Soundings/09_15_2019_1700Z.zip,http://localhost/data/Soundings/09_15_2019_1700Z_Graphs
2019-09-16 14:00,http://localhost/data/Soundings/09_16_2019_1400Z.kml,http://localhost/data/Soundings/09_16_2019_1400Z.zip,
2019-09-17 11:00,http://localhost/data/Soundings/09_17_2019_1100Z.kml,http://localhost/data/Soundings/09_17_2019_1100Z.zip,
2019-09-17 15:45,http://localhost/data/Soundings/09_17_2019_1545Z.kml,http://localhost/data/Soundings/09_17_2019_1545Z.zip,
2019-09-18 15:30,http://localhost/data/Soundings/09_18_2019_1530Z.kml,http://localhost/data/Soundings/09_18_2019_1530Z.zip,
2019-09-19 17:30,http://localhost/data/Soundings/09_19_2019_1730Z.kml,http://localhost/data/Soundings/09_19_2019_1730Z.zip,
2019-09-20 14:00,http://localhost/data/Soundings/09_20_2019_1400Z.kml,http://localhost/data/Soundings/09_20_2019_1400Z.zip,
